measure,time,time_type,Ethnicity,ethnicity_type,legislation_type,geography,geography_type,number_of_stop_and_searches,total_number_of_stop_and_search_carried_out_in_this_year_in_this_area_excluding_cases_where_the_ethnicity_was_unreported,population_by_ethnicity,rate_per_1_000_population_by_ethnicity,proportion_of_total_stop_and_searches_of_this_ethnicity_in_the_financial_year_excludes_unreported
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,405,5472,54127,7.48,7.4
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,186,3074,54127,3.44,6.1
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,226,2807,54127,4.18,8.1
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,286,3825,54127,5.28,7.5
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,301,19364,10204,29.5,1.6
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,321,20890,10204,31.46,1.5
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,245,19250,10204,24.01,1.3
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,370,23349,10204,36.26,1.6
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,358,22386,10204,35.08,1.6
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,184,10091,10204,18.03,1.8
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,115,5831,10204,11.27,2
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,73,4376,10204,7.15,1.7
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,47,3129,10204,4.61,1.5
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,28,1719,10204,2.74,1.6
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,10,1342,10204,0.98,0.7
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,13,1465,10204,1.27,0.9
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Leicestershire,Police Force Area,25,2685,10204,2.45,0.9
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,11,8609,584,18.84,0.1
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,10,11818,584,17.12,0.1
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,27,13353,584,46.23,0.2
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,11,10521,584,18.84,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,6,9651,584,10.27,0.1
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,9,6343,584,15.41,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,6,6999,584,10.27,0.1
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,11,8942,584,18.84,0.1
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,8,5881,584,13.7,0.1
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,1,3812,584,1.71,0
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,7,2186,584,11.99,0.3
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,2,2048,584,3.42,0.1
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Lincolnshire,Police Force Area,7,2546,584,11.99,0.3
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,136,6912,NA,NA,2
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,207,7581,NA,NA,2.7
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,155,7300,NA,NA,2.1
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,149,5420,NA,NA,2.7
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,159,4078,NA,NA,3.9
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,97,3251,NA,NA,3
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,75,2645,NA,NA,2.8
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,68,2231,NA,NA,3
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,54,1539,NA,NA,3.5
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,28,1322,NA,NA,2.1
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,40,1122,NA,NA,3.6
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,20,1004,NA,NA,2
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,"London, City of",Police Force Area,47,1111,NA,NA,4.2
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,48,47870,2566,18.71,0.1
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,79,64607,2566,30.79,0.1
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,85,68915,2566,33.13,0.1
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,57,59659,2566,22.21,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,42,43877,2566,16.37,0.1
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,36,25691,2566,14.03,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,25,29117,2566,9.74,0.1
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,54,35855,2566,21.04,0.2
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,30,24523,2566,11.69,0.1
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,8,6450,2566,3.12,0.1
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,10,6650,2566,3.9,0.2
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,7,9257,2566,2.73,0.1
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Merseyside,Police Force Area,29,17576,2566,11.3,0.2
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,6485,294467,223781,28.98,2.2
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,11220,448957,223781,50.14,2.5
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,19215,721451,223781,85.87,2.7
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,18650,624009,223781,83.34,3
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,17568,560544,223781,78.51,3.1
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,14027,480702,223781,62.68,2.9
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,9675,338973,223781,43.23,2.9
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,6455,270086,223781,28.85,2.4
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,3787,157738,223781,16.92,2.4
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,3143,140198,223781,14.04,2.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,2487,121607,223781,11.11,2
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,2559,116385,223781,11.44,2.2
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,3251,149592,223781,14.53,2.2
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Norfolk,Police Force Area,10,8298,700,14.29,0.1
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Norfolk,Police Force Area,7,8541,700,10,0.1
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Norfolk,Police Force Area,4,11467,700,5.71,0
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Norfolk,Police Force Area,19,13075,700,27.14,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Norfolk,Police Force Area,12,15350,700,17.14,0.1
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Norfolk,Police Force Area,13,16047,700,18.57,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Norfolk,Police Force Area,12,14297,700,17.14,0.1
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Norfolk,Police Force Area,11,13070,700,15.71,0.1
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Norfolk,Police Force Area,17,9226,700,24.29,0.2
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Norfolk,Police Force Area,11,5277,700,15.71,0.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Norfolk,Police Force Area,11,3682,700,15.71,0.3
